Rank,Song,Artist(s),Streams (billions),Release date,Ref.,Year
1.0,"""Blinding Lights""",The Weeknd,5.261,2019-11-29,[1],2019.0
2.0,"""Shape of You""",Ed Sheeran,4.753,2017-01-06,[2],2017.0
3.0,"""Sweater Weather""",The Neighbourhood,4.356,2012-12-03,[3],2012.0
4.0,"""Starboy""",The Weeknd and Daft Punk,4.344,2016-09-21,[4],2016.0
5.0,"""As It Was""",Harry Styles,4.229,2022-04-01,[5],2022.0
6.0,"""Someone You Loved""",Lewis Capaldi,4.212,2018-11-08,[6],2018.0
7.0,"""Sunflower""",Post Malone and Swae Lee,4.107,2018-10-18,[7],2018.0
8.0,"""One Dance""",Drake with Wizkid and Kyla,4.014,2016-04-05,[8],2016.0
9.0,"""Perfect""",Ed Sheeran,3.814,2017-03-03,[9],2017.0
10.0,"""Stay""",The Kid Laroi and Justin Bieber,3.788,2021-07-09,[10],2021.0
11.0,"""Believer""",Imagine Dragons,3.732,2017-02-01,[11],2017.0
12.0,"""Heat Waves""",Glass Animals,3.647,2020-06-29,[12],2020.0
13.0,"""Lovely""",Billie Eilish and Khalid,3.632,2018-04-19,[13],2018.0
14.0,"""Closer""",The Chainsmokers and Halsey,3.582,2016-07-29,[14],2016.0
15.0,"""The Night We Met""",Lord Huron,3.578,2015-04-07,[15],2015.0
16.0,"""I Wanna Be Yours""",Arctic Monkeys,3.578,2013-09-09,[16],2013.0
17.0,"""Yellow""",Coldplay,3.558,2000-06-26,[17],2000.0
18.0,"""Say You Won't Let Go""",James Arthur,3.52,2016-09-09,[18],2016.0
19.0,"""Something Just Like This""",The Chainsmokers and Coldplay,3.5,2017-02-22,[19],2017.0
20.0,"""Riptide""",Vance Joy,3.482,2013-05-21,[20],2013.0
21.0,"""Birds of a Feather""",Billie Eilish,3.44,2024-05-17,[21],2024.0
22.0,"""Another Love""",Tom Odell,3.417,2012-10-15,[22],2012.0
23.0,"""Dance Monkey""",Tones and I,3.387,2019-05-10,[23],2019.0
24.0,"""Die With A Smile""",Lady Gaga and Bruno Mars,3.385,2024-08-16,[24],2024.0
25.0,"""Take Me to Church""",Hozier,3.336,2013-09-13,[25],2013.0
26.0,"""Counting Stars""",OneRepublic,3.322,2013-06-14,[26],2013.0
27.0,"""Rockstar""",Post Malone and 21 Savage,3.32,2017-09-15,[27],2017.0
28.0,"""Photograph""",Ed Sheeran,3.284,2014-06-20,[28],2014.0
29.0,"""Every Breath You Take""",The Police,3.246,1983-05-20,[29],1983.0
30.0,"""Señorita""",Shawn Mendes and Camila Cabello,3.234,2019-06-21,[30],2019.0
31.0,"""Cruel Summer""",Taylor Swift,3.227,2019-08-23,[31],2019.0
32.0,"""Watermelon Sugar""",Harry Styles,3.191,2019-11-16,[32],2019.0
33.0,"""Can't Hold Us""",Macklemore & Ryan Lewis with Ray Dalton,3.19,2011-08-16,[33],2011.0
34.0,"""Viva La Vida""",Coldplay,3.165,2008-05-25,[34],2008.0
35.0,"""Don't Start Now""",Dua Lipa,3.145,2019-10-31,[35],2019.0
36.0,"""Die for You""",The Weeknd,3.134,2016-11-25,[36],2016.0
37.0,"""Just the Way You Are""",Bruno Mars,3.103,2010-07-20,[37],2010.0
38.0,"""Iris""",Goo Goo Dolls,3.079,1998-04-01,[38],1998.0
39.0,"""Circles""",Post Malone,3.065,2019-08-30,[39],2019.0
40.0,"""Lucid Dreams""",Juice Wrld,3.061,2018-05-04,[40],2018.0
41.0,"""Goosebumps""",Travis Scott and Kendrick Lamar,3.054,2016-09-02,[41],2016.0
42.0,"""Love Yourself""",Justin Bieber,3.049,2015-11-09,[42],2015.0
43.0,"""Bohemian Rhapsody""",Queen,3.045,1975-10-31,[43],1975.0
44.0,"""Locked Out Of Heaven""",Bruno Mars,3.028,2012-10-01,[44],2012.0
45.0,"""Thinking Out Loud""",Ed Sheeran,3.019,2014-06-20,[45],2014.0
46.0,"""That's What I Like""",Bruno Mars,3.005,2016-11-18,[46],2016.0
47.0,"""Shallow""",Lady Gaga and Bradley Cooper,3.0,2018-09-27,[47],2018.0
48.0,"""In The End""",Linkin Park,2.995,2000-10-24,[48],2000.0
49.0,"""Wake Me Up""",Avicii,2.99,2013-06-17,[49],2013.0
50.0,"""Mr. Brightside""",The Killers,2.989,2003-09-29,[50],2003.0
51.0,"""When I Was Your Man""",Bruno Mars,2.989,2012-12-07,[51],2012.0
52.0,"""All of Me""",John Legend,2.978,2013-08-12,[52],2013.0
53.0,"""God's Plan""",Drake,2.976,2018-01-19,[53],2018.0
54.0,"""Without Me""",Eminem,2.944,2002-05-13,[54],2002.0
55.0,"""Thunder""",Imagine Dragons,2.933,2017-04-27,[55],2017.0
56.0,"""The Hills""",The Weeknd,2.932,2015-05-27,[56],2015.0
57.0,"""Demons""",Imagine Dragons,2.927,2012-09-04,[57],2012.0
58.0,"""Stressed Out""",Twenty One Pilots,2.91,2015-04-28,[58],2015.0
59.0,"""Bad Guy""",Billie Eilish,2.866,2019-03-29,[59],2019.0
60.0,"""Do I Wanna Know?""",Arctic Monkeys,2.862,2013-06-19,[60],2013.0
61.0,"""Let Me Love You""",DJ Snake and Justin Bieber,2.859,2016-08-05,[61],2016.0
62.0,"""Humble""",Kendrick Lamar,2.838,2017-03-30,[62],2017.0
63.0,"""All the Stars""",Kendrick Lamar and SZA,2.822,2018-01-04,[63],2018.0
64.0,"""No Role Modelz""",J. Cole,2.809,2014-12-09,[64],2014.0
65.0,"""Lose Yourself""",Eminem,2.795,2002-10-28,[65],2002.0
66.0,"""Espresso""",Sabrina Carpenter,2.781,2024-04-11,[66],2024.0
67.0,"""Unforgettable""",French Montana and Swae Lee,2.78,2017-04-07,[67],2017.0
68.0,"""See You Again""","Tyler, the Creator and Kali Uchis",2.777,2017-07-21,[68],2017.0
69.0,"""Seven""",Jung Kook and Latto,2.774,2023-07-14,[69],2023.0
70.0,"""Flowers""",Miley Cyrus,2.768,2023-01-13,[70],2023.0
71.0,"""Treat You Better""",Shawn Mendes,2.746,2016-06-03,[71],2016.0
72.0,"""Beautiful Things""",Benson Boone,2.745,2024-01-19,[72],2024.0
73.0,"""Smells Like Teen Spirit""",Nirvana,2.744,1991-09-10,[73],1991.0
74.0,"""Let Her Go""",Passenger,2.741,2012-07-24,[74],2012.0
75.0,"""Drivers License""",Olivia Rodrigo,2.735,2021-01-08,[75],2021.0
76.0,"""7 Rings""",Ariana Grande,2.73,2019-01-18,[76],2019.0
77.0,"""Sorry""",Justin Bieber,2.729,2015-10-22,[77],2015.0
78.0,"""The Scientist""",Coldplay,2.725,2002-05-26,[78],2002.0
79.0,"""Don't Stop Believin'""",Journey,2.719,1981-10-19,[79],1981.0
80.0,"""Kill Bill""",SZA,2.713,2022-12-09,[80],2022.0
81.0,"""There's Nothing Holdin' Me Back""",Shawn Mendes,2.69,2017-04-20,[81],2017.0
82.0,"""Creep""",Radiohead,2.674,1992-09-21,[82],1992.0
83.0,"""Wonderwall""",Oasis,2.653,1995-10-02,[83],1995.0
84.0,"""505""",Arctic Monkeys,2.65,2007-04-27,[84],2007.0
85.0,"""Take On Me""",A-ha,2.645,1984-10-19,[85],1984.0
86.0,"""One Kiss""",Calvin Harris and Dua Lipa,2.619,2018-04-06,[86],2018.0
87.0,"""Cold Heart (Pnau remix)""",Elton John and Dua Lipa with Pnau,2.616,2021-08-13,[87],2021.0
88.0,"""Save Your Tears""",The Weeknd,2.612,2020-03-20,[88],2020.0
89.0,"""Numb""",Linkin Park,2.6,2003-03-25,[89],2003.0
90.0,"""Good 4 U""",Olivia Rodrigo,2.576,2021-05-14,[90],2021.0
91.0,"""Sweet Child o' Mine""",Guns N' Roses,2.572,1988-06-03,[91],1988.0
92.0,"""Don't Stop Me Now""",Queen,2.556,1979-01-26,[92],1979.0
93.0,"""Lean On""",Major Lazer and DJ Snake with M∅,2.555,2015-03-02,[93],2015.0
94.0,"""Uptown Funk""",Mark Ronson and Bruno Mars,2.55,2014-11-10,[94],2014.0
95.0,"""Happier""",Marshmello and Bastille,2.549,2018-08-16,[95],2018.0
96.0,"""Payphone""",Maroon 5 and Wiz Khalifa,2.537,2012-04-16,[96],2012.0
97.0,"""Sicko Mode""",Travis Scott and Drake,2.527,2018-08-21,[97],2018.0
98.0,"""Dreams""",Fleetwood Mac,2.527,1977-02-04,[98],1977.0
99.0,"""Someone Like You""",Adele,2.514,2011-01-24,[99],2011.0
100.0,"""Billie Jean""",Michael Jackson,2.508,1983-01-02,,1983.0
